source_type,source_key,relation,target_type,target_key,source_ref
asset,SN:8CC3161T0J,OBSERVED_AT,location,A001,Audit 2026 device/Data store/Audit/A001.xlsx#A001!row=2
asset,OBS:BBA8660547,OBSERVED_AT,location,A001,Audit 2026 device/Data store/Audit/A001.xlsx#A001!row=3
asset,OBS:6FD56E4AAD,OBSERVED_AT,location,A001,Audit 2026 device/Data store/Audit/A001.xlsx#A001!row=4
asset,SN:20201130040,OBSERVED_AT,location,A001,Audit 2026 device/Data store/Audit/A001.xlsx#A001!row=5
asset,SN:VFD220U13B20120035,OBSERVED_AT,location,A001,Audit 2026 device/Data store/Audit/A001.xlsx#A001!row=6
asset,SN:G21M82792,OBSERVED_AT,location,A001,Audit 2026 device/Data store/Audit/A001.xlsx#A001!row=7
asset,SN:1CR82307C4,OBSERVED_AT,location,A001,Audit 2026 device/Data store/Audit/A001.xlsx#A001!row=8
asset,SN:X7B9022774,OBSERVED_AT,location,A001,Audit 2026 device/Data store/Audit/A001.xlsx#A001!row=9
asset,SN:PSZ27181AHK,OBSERVED_AT,location,A001,Audit 2026 device/Data store/Audit/A001.xlsx#A001!row=10
asset,SN:AC8BA9548380,OBSERVED_AT,location,A001,Audit 2026 device/Data store/Audit/A001.xlsx#A001!row=11
asset,SN:FGT40FTK2309D2D4,OBSERVED_AT,location,A001,Audit 2026 device/Data store/Audit/A001.xlsx#A001!row=12
asset,SN:CNB3Q9MLY6,OBSERVED_AT,location,A001,Audit 2026 device/Data store/Audit/A001.xlsx#A001!row=13
asset,SN:S24165523020818,OBSERVED_AT,location,A001,Audit 2026 device/Data store/Audit/A001.xlsx#A001!row=14
asset,SN:F7N4GGJ73G,OBSERVED_AT,location,A001,Audit 2026 device/Data store/Audit/A001.xlsx#A001!row=15
asset,SN:2530022102301145,OBSERVED_AT,location,A001,Audit 2026 device/Data store/Audit/A001.xlsx#A001!row=16
asset,SN:8CC3213L46,OBSERVED_AT,location,A002,Audit 2026 device/Data store/Audit/A002.xlsx#A002!row=2
asset,SN:20201130017,OBSERVED_AT,location,A002,Audit 2026 device/Data store/Audit/A002.xlsx#A002!row=3
asset,SN:211130000023,OBSERVED_AT,location,A002,Audit 2026 device/Data store/Audit/A002.xlsx#A002!row=4
asset,SN:G23D05251,OBSERVED_AT,location,A002,Audit 2026 device/Data store/Audit/A002.xlsx#A002!row=5
asset,SN:1CR82307CJ,OBSERVED_AT,location,A002,Audit 2026 device/Data store/Audit/A002.xlsx#A002!row=6
asset,SN:X7BA004104,OBSERVED_AT,location,A002,Audit 2026 device/Data store/Audit/A002.xlsx#A002!row=7
asset,SN:PSZ27181D30,OBSERVED_AT,location,A002,Audit 2026 device/Data store/Audit/A002.xlsx#A002!row=8
asset,SN:9C05D679853C,OBSERVED_AT,location,A002,Audit 2026 device/Data store/Audit/A002.xlsx#A002!row=9
asset,SN:FGT40FTK24007310,OBSERVED_AT,location,A002,Audit 2026 device/Data store/Audit/A002.xlsx#A002!row=10
asset,SN:ZAU82MM037794,OBSERVED_AT,location,A002,Audit 2026 device/Data store/Audit/A002.xlsx#A002!row=11
asset,SN:CNB3R38327,OBSERVED_AT,location,A002,Audit 2026 device/Data store/Audit/A002.xlsx#A002!row=12
asset,SN:SK5QKJH956L,OBSERVED_AT,location,A002,Audit 2026 device/Data store/Audit/A002.xlsx#A002!row=13
asset,SN:24161523020360,OBSERVED_AT,location,A002,Audit 2026 device/Data store/Audit/A002.xlsx#A002!row=14
asset,SN:234123052300546,OBSERVED_AT,location,A002,Audit 2026 device/Data store/Audit/A002.xlsx#A002!row=15
asset,SN:4CE234DC69,OBSERVED_AT,location,DSV,Audit 2026 device/Data store/Audit/A003.xlsx#A003 ASICS GOLD COAST!row=2
asset,SN:4CE234DC69,INTENDED_FOR,location,A003,Audit 2026 device/Data store/Audit/A003.xlsx#A003 ASICS GOLD COAST!row=2
asset,OBS:211A5CB99C,OBSERVED_AT,location,A003,Audit 2026 device/Data store/Audit/A003.xlsx#A003 ASICS GOLD COAST!row=3
asset,OBS:1858B49488,OBSERVED_AT,location,A003,Audit 2026 device/Data store/Audit/A003.xlsx#A003 ASICS GOLD COAST!row=4
asset,SN:MK410211201036,OBSERVED_AT,location,A003,Audit 2026 device/Data store/Audit/A003.xlsx#A003 ASICS GOLD COAST!row=5
asset,SN:211130000033,OBSERVED_AT,location,A003,Audit 2026 device/Data store/Audit/A003.xlsx#A003 ASICS GOLD COAST!row=6
asset,SN:G00LH223008,OBSERVED_AT,location,A003,Audit 2026 device/Data store/Audit/A003.xlsx#A003 ASICS GOLD COAST!row=7
asset,SN:3CQ7490XG4,OBSERVED_AT,location,A003,Audit 2026 device/Data store/Audit/A003.xlsx#A003 ASICS GOLD COAST!row=8
asset,SN:X7BA007405,OBSERVED_AT,location,A003,Audit 2026 device/Data store/Audit/A003.xlsx#A003 ASICS GOLD COAST!row=9
asset,SN:PSZ27111C7N,OBSERVED_AT,location,A003,Audit 2026 device/Data store/Audit/A003.xlsx#A003 ASICS GOLD COAST!row=10
asset,SN:8C30664CA1F4,OBSERVED_AT,location,A003,Audit 2026 device/Data store/Audit/A003.xlsx#A003 ASICS GOLD COAST!row=11
asset,SN:FGT40FTK25088855,OBSERVED_AT,location,A003,Audit 2026 device/Data store/Audit/A003.xlsx#A003 ASICS GOLD COAST!row=12
asset,SN:NMYA744308,OBSERVED_AT,location,A003,Audit 2026 device/Data store/Audit/A003.xlsx#A003 ASICS GOLD COAST!row=13
asset,SN:S22182523023415,OBSERVED_AT,location,DSV,Audit 2026 device/Data store/Audit/A003.xlsx#A003 ASICS GOLD COAST!row=14
asset,SN:S22182523023415,INTENDED_FOR,location,A003,Audit 2026 device/Data store/Audit/A003.xlsx#A003 ASICS GOLD COAST!row=14
asset,SN:F36H6L0DM0,OBSERVED_AT,location,A003,Audit 2026 device/Data store/Audit/A003.xlsx#A003 ASICS GOLD COAST!row=15
asset,SN:XXZTN261200010,OBSERVED_AT,location,A003,Audit 2026 device/Data store/Audit/A003.xlsx#A003 ASICS GOLD COAST!row=16
asset,SN:8CC3500VNJ8CC3500VSH,OBSERVED_AT,location,V003,Audit 2026 device/Data store/Audit/V003.xlsx#V003!row=2
asset,OBS:5C3EFEBBED,OBSERVED_AT,location,V003,Audit 2026 device/Data store/Audit/V003.xlsx#V003!row=2
asset,SN:1C6A1B99A032,OBSERVED_AT,location,V003,Audit 2026 device/Data store/Audit/V003.xlsx#V003!row=3
asset,SN:KWC29190Y0L,OBSERVED_AT,location,V003,Audit 2026 device/Data store/Audit/V003.xlsx#V003!row=4
asset,SN:1C6A1B1F094D1C6A1B1EFD411C6A1B1EFB0D,OBSERVED_AT,location,V003,Audit 2026 device/Data store/Audit/V003.xlsx#V003!row=5
asset,OBS:EE58298147,OBSERVED_AT,location,V003,Audit 2026 device/Data store/Audit/V003.xlsx#V003!row=5
asset,OBS:98B3472EE1,OBSERVED_AT,location,V003,Audit 2026 device/Data store/Audit/V003.xlsx#V003!row=5
asset,OBS:78C85CD4CF,OBSERVED_AT,location,V003,Audit 2026 device/Data store/Audit/V003.xlsx#V003!row=6
asset,SN:352714115510901S24165523020007S24164523022749S24144523021867S24164523022750,OBSERVED_AT,location,V003,Audit 2026 device/Data store/Audit/V003.xlsx#V003!row=7
asset,OBS:BFBBB52104,OBSERVED_AT,location,V003,Audit 2026 device/Data store/Audit/V003.xlsx#V003!row=7
asset,OBS:4B8209B328,OBSERVED_AT,location,V003,Audit 2026 device/Data store/Audit/V003.xlsx#V003!row=7
asset,OBS:C1E271B0E6,OBSERVED_AT,location,V003,Audit 2026 device/Data store/Audit/V003.xlsx#V003!row=7
asset,OBS:94D4689282,OBSERVED_AT,location,V003,Audit 2026 device/Data store/Audit/V003.xlsx#V003!row=7
asset,SN:25341230523005322530022102301146,OBSERVED_AT,location,V003,Audit 2026 device/Data store/Audit/V003.xlsx#V003!row=8
asset,OBS:63FED7548B,OBSERVED_AT,location,V003,Audit 2026 device/Data store/Audit/V003.xlsx#V003!row=8
asset,SN:356160461428445,OBSERVED_AT,location,V003,Audit 2026 device/Data store/Audit/V003.xlsx#V003!row=9
asset,SN:I1624C0004,OBSERVED_AT,location,V003,Audit 2026 device/Data store/Audit/V003.xlsx#V003!row=10
asset,SN:91DR874,OBSERVED_AT,location,V003,Audit 2026 device/Data store/Audit/V003.xlsx#V003!row=11
asset,SN:3CQ3240J7T3CQ23206621CR82307C4,OBSERVED_AT,location,V003,Audit 2026 device/Data store/Audit/V003.xlsx#V003!row=12
asset,OBS:46FE9DC26B,OBSERVED_AT,location,V003,Audit 2026 device/Data store/Audit/V003.xlsx#V003!row=12
asset,OBS:93D8FF155C,OBSERVED_AT,location,V003,Audit 2026 device/Data store/Audit/V003.xlsx#V003!row=12
asset,OBS:EBA546346C,OBSERVED_AT,location,V003,Audit 2026 device/Data store/Audit/V003.xlsx#V003!row=13
asset,OBS:0EC63D6202,OBSERVED_AT,location,V003,Audit 2026 device/Data store/Audit/V003.xlsx#V003!row=13
asset,OBS:55260DE4E4,OBSERVED_AT,location,V003,Audit 2026 device/Data store/Audit/V003.xlsx#V003!row=13
asset,OBS:A9A22EEF7A,OBSERVED_AT,location,V003,Audit 2026 device/Data store/Audit/V003.xlsx#V003!row=14
asset,OBS:3B406E52C3,OBSERVED_AT,location,V003,Audit 2026 device/Data store/Audit/V003.xlsx#V003!row=14
asset,OBS:98151954EF,OBSERVED_AT,location,V003,Audit 2026 device/Data store/Audit/V003.xlsx#V003!row=14
asset,SN:MK410221102176MK410221102399,OBSERVED_AT,location,V003,Audit 2026 device/Data store/Audit/V003.xlsx#V003!row=15
asset,OBS:EEEE67C11D,OBSERVED_AT,location,V003,Audit 2026 device/Data store/Audit/V003.xlsx#V003!row=15
asset,SN:2TD311NAFS2TD3311NAFQ,OBSERVED_AT,location,V003,Audit 2026 device/Data store/Audit/V003.xlsx#V003!row=16
asset,OBS:0C175DC24E,OBSERVED_AT,location,V003,Audit 2026 device/Data store/Audit/V003.xlsx#V003!row=16
asset,SN:S24019523702434SCANS24017523702131DOCKSCANS24020523701951SCANS24016523701462DOCKSCAN,OBSERVED_AT,location,V003,Audit 2026 device/Data store/Audit/V003.xlsx#V003!row=17
asset,OBS:4545EA137F,OBSERVED_AT,location,V003,Audit 2026 device/Data store/Audit/V003.xlsx#V003!row=17
asset,SN:25300221023011402534123052300530,OBSERVED_AT,location,V003,Audit 2026 device/Data store/Audit/V003.xlsx#V003!row=18
asset,OBS:C300F0E286,OBSERVED_AT,location,V003,Audit 2026 device/Data store/Audit/V003.xlsx#V003!row=18
asset,SN:CNB2Q9TRM8,OBSERVED_AT,location,V003,Audit 2026 device/Data store/Audit/V003.xlsx#V003!row=19
asset,SN:5CG3350NKD,OBSERVED_AT,location,V003,Audit 2026 device/Data store/Audit/V003.xlsx#V003!row=20
asset,SN:2560023022000020,OBSERVED_AT,location,V003,Audit 2026 device/Data store/Audit/V003.xlsx#V003!row=21
asset,SN:FGT60FTK23084659,OBSERVED_AT,location,V003,Audit 2026 device/Data store/Audit/V003.xlsx#V003!row=22
asset,SN:S23069523701506,OBSERVED_AT,location,V003,Audit 2026 device/Data store/Audit/V003.xlsx#V003!row=23
asset,SN:8CC3190ZZK,OBSERVED_AT,location,VA01,Audit 2026 device/Data store/Audit/VA01.xlsx#VA01!row=2
asset,OBS:7AA234F871,OBSERVED_AT,location,VA01,Audit 2026 device/Data store/Audit/VA01.xlsx#VA01!row=3
asset,OBS:1B59FBD0E4,OBSERVED_AT,location,VA01,Audit 2026 device/Data store/Audit/VA01.xlsx#VA01!row=4
asset,SN:MK410221102375,OBSERVED_AT,location,VA01,Audit 2026 device/Data store/Audit/VA01.xlsx#VA01!row=5
asset,SN:D190928010059,OBSERVED_AT,location,VA01,Audit 2026 device/Data store/Audit/VA01.xlsx#VA01!row=6
asset,SN:G23C76633,OBSERVED_AT,location,VA01,Audit 2026 device/Data store/Audit/VA01.xlsx#VA01!row=7
asset,SN:3CQ23207GZ,OBSERVED_AT,location,VA01,Audit 2026 device/Data store/Audit/VA01.xlsx#VA01!row=8
asset,SN:X7B9027872,OBSERVED_AT,location,VA01,Audit 2026 device/Data store/Audit/VA01.xlsx#VA01!row=9
asset,SN:PSZ27111C9M,OBSERVED_AT,location,VA01,Audit 2026 device/Data store/Audit/VA01.xlsx#VA01!row=10
asset,SN:9C05D67987ED,OBSERVED_AT,location,VA01,Audit 2026 device/Data store/Audit/VA01.xlsx#VA01!row=11
asset,SN:FGT40FTK24013312,OBSERVED_AT,location,VA01,Audit 2026 device/Data store/Audit/VA01.xlsx#VA01!row=12
asset,SN:NMYA846446,OBSERVED_AT,location,VA01,Audit 2026 device/Data store/Audit/VA01.xlsx#VA01!row=13
asset,SN:862854053049828,OBSERVED_AT,location,VA01,Audit 2026 device/Data store/Audit/VA01.xlsx#VA01!row=14
asset,SN:I1623H0004,OBSERVED_AT,location,VA01,Audit 2026 device/Data store/Audit/VA01.xlsx#VA01!row=15
asset,SN:24164523022661,OBSERVED_AT,location,VA01,Audit 2026 device/Data store/Audit/VA01.xlsx#VA01!row=16
asset,SN:2530022102300548,OBSERVED_AT,location,VA01,Audit 2026 device/Data store/Audit/VA01.xlsx#VA01!row=17
asset,SN:8CC3190ZZK,OBSERVED_AT,location,VA01,Audit 2026 device/Data store/Audit/VA01.xlsx#Sheet1!row=2
asset,SN:MK410221102375,OBSERVED_AT,location,VA01,Audit 2026 device/Data store/Audit/VA01.xlsx#Sheet1!row=5
asset,SN:D190928010059,OBSERVED_AT,location,VA01,Audit 2026 device/Data store/Audit/VA01.xlsx#Sheet1!row=6
asset,SN:G23C76633,OBSERVED_AT,location,VA01,Audit 2026 device/Data store/Audit/VA01.xlsx#Sheet1!row=7
asset,SN:X7B9027872,OBSERVED_AT,location,VA01,Audit 2026 device/Data store/Audit/VA01.xlsx#Sheet1!row=9
asset,SN:KWC29190Y1C,OBSERVED_AT,location,VA01,Audit 2026 device/Data store/Audit/VA01.xlsx#Sheet1!row=10
asset,SN:9C05D67658B6,OBSERVED_AT,location,VA01,Audit 2026 device/Data store/Audit/VA01.xlsx#Sheet1!row=11
asset,OBS:9052D7C58E,OBSERVED_AT,location,VA01,Audit 2026 device/Data store/Audit/VA01.xlsx#Sheet1!row=12
asset,SN:FGT40FTK24086985,OBSERVED_AT,location,VA01,Audit 2026 device/Data store/Audit/VA01.xlsx#Sheet1!row=13
asset,SN:NMYA846446,OBSERVED_AT,location,VA01,Audit 2026 device/Data store/Audit/VA01.xlsx#Sheet1!row=14
asset,SN:I1623F0001,OBSERVED_AT,location,VA01,Audit 2026 device/Data store/Audit/VA01.xlsx#Sheet1!row=16
asset,SN:24164523022661,OBSERVED_AT,location,VA01,Audit 2026 device/Data store/Audit/VA01.xlsx#Sheet1!row=17
asset,SN:2530022102300950,OBSERVED_AT,location,VA01,Audit 2026 device/Data store/Audit/VA01.xlsx#Sheet1!row=18
asset,SN:8CC2452WZJ,OBSERVED_AT,location,VA03,Audit 2026 device/Data store/Audit/VA03.xlsx#VA03!row=2
asset,OBS:A6BC0F17F8,OBSERVED_AT,location,VA03,Audit 2026 device/Data store/Audit/VA03.xlsx#VA03!row=3
asset,OBS:68826B5C68,OBSERVED_AT,location,VA03,Audit 2026 device/Data store/Audit/VA03.xlsx#VA03!row=4
